koi_period,koi_duration,koi_depth,koi_model_snr,koi_impact,koi_time0bk,koi_steff,koi_slogg,koi_srad,koi_smet,koi_kepmag,duty_cycle,rp_rs,koi_disposition
3.340.218.842,191.040,"1,63E+07",71.60,4.660,1.719.790.620,3950.00,4.754,4.930,-4.600,15.954,"0,00000238307739","4,040544518",CONFIRMED
2.507.089.906,200.670,"1,34E+07",64.90,1.2550,1.710.024.550,5926.00,4.506,9.390,-400,15.555,"0,000003335041946","3,659508164",FALSE POSITIVE
18.649.327.280,440.560,"8,94E+06",46.10,800,1.747.710.000,5775.00,4.405,1.0530,1.600,15.386,"0,0000009843071759","2,989314303",CONFIRMED
4.901.449.760,416.540,"1,41E+06",50.60,5.290,1.386.054.800,5847.00,4.191,1.4020,2.600,12.487,"0,000003540959141","1,186170308",CONFIRMED
9.751.921.010,479.300,"4,18E+06",28.50,9.490,1.387.860.800,5775.00,4.405,1.0530,1.600,15.386,"0,00000204788711","2,04450483",CONFIRMED
38.557.654.600,579.400,"9,93E+06",39.70,9.110,1.638.506.300,5775.00,4.405,1.0530,1.600,15.386,"0,0000006261186506","3,151190251",CONFIRMED
3.525.632.539,259.959,"2,23E+08",1996.70,1.200,1.700.479.951,5150.00,4.572,7.930,800,15.224,"0,000003072250123","14,9448988",CONFIRMED
34.843.986.440,293.150,"4,52E+07",76.80,9.340,1.726.332.520,5509.00,4.482,8.710,-1.600,15.684,"0,0000003505506855","6,725771331",CANDIDATE
7.748.094.239,359.570,"2,47E+07",113.20,5.170,1.749.972.060,5973.00,4.439,1.0850,3.600,15.670,"0,000001933647536","4,972021722",CONFIRMED
23.967.936.690,382.700,"1,18E+07",27.50,4.160,1.862.218.200,3747.00,4.728,5.240,1.000,15.414,"0,0000006652985419","3,438458957",CONFIRMED
8.295.617.380,134.210,"8,24E+06",17.90,8.880,1.357.928.400,3747.00,4.728,5.240,1.000,15.414,"0,0000006741009231","2,871062521",CONFIRMED
8.114.374.820,227.360,"1,56E+07",56.40,5.730,1.763.396.800,3692.00,4.753,5.170,2.800,15.877,"0,000001167475442","3,947150871",CONFIRMED
38.036.729.482,434.617,"8,29E+08",1300.00,5.010,1.969.349.470,5575.00,4.521,9.320,3.600,15.472,"0,0000004760935526","28,78749729",FALSE POSITIVE
4.640.900.310,3.551.200,"2,45E+07",296.90,1.2800,1.736.463.800,6463.00,4.500,8.260,-16.600,15.270,"0,00003188318145","4,950353523",CANDIDATE
3.747.838.198,506.420,"6,16E+06",138.20,1.1210,1.716.650.400,5514.00,4.569,8.260,-400,13.496,"0,000005630134552","2,481934729",FALSE POSITIVE
14.749.148.250,609.950,"4,30E+06",107.40,1.730,1.387.779.900,5847.00,4.191,1.4020,2.600,12.487,"0,000001723122102","2,074126322",CONFIRMED
21.812.959.960,437.910,"1,18E+07",37.80,530,1.740.108.500,5601.00,4.410,9.990,800,15.540,"0,000000836486659","3,428410711",CONFIRMED
7.919.369.370,331.480,"1,51E+08",389.00,7.330,1.721.810.920,5690.00,4.588,7.760,-4.000,15.805,"0,000001744036175","12,30772115",FALSE POSITIVE
1.028.436.523,186.060,"8,10E+07",89.60,1.5734,1.702.285.820,6228.00,4.428,9.900,-4.400,15.202,"0,000007538141467","8,99888882",CANDIDATE
15.375.623.690,331.690,"1,53E+08",166.00,6.920,1.736.140.200,4986.00,4.496,8.330,1.600,16.422,"0,0000008988524268","12,38426421",CONFIRMED
8.103.632.710,316.100,"8,88E+06",39.30,470,1.769.486.000,4861.00,4.574,7.320,-800,15.289,"0,000001625299888","2,979765091",CONFIRMED
4.715.108.430,250.600,"4,18E+06",21.30,2.580,1.349.617.800,4861.00,4.574,7.320,-800,15.289,"0,000002214512523","2,043281674",CONFIRMED
6.365.839.713,297.210,"7,81E+06",70.80,5.240,1.711.357.500,5776.00,4.554,8.490,-1.800,15.090,"0,0000019453443","2,794100929",CONFIRMED
5.975.817.540,306.500,"9,62E+06",50.30,9.410,1.747.760.200,6108.00,4.471,9.970,-800,15.546,"0,000002137085553","3,102257243",FALSE POSITIVE
2.446.737.317,472.110,"1,18E+07",110.20,1.2410,1.706.695.100,5764.00,4.548,8.630,-1.200,15.021,"0,000008039788278","3,432054778",FALSE POSITIVE
3.040.330.460,184.110,"1,09E+08",568.20,7.360,1.699.490.106,5035.00,4.519,7.910,-600,15.028,"0,000002523163222","10,42065257",CONFIRMED
15.335.286.750,389.700,"3,08E+07",86.60,7.730,1.740.027.800,5251.00,4.581,8.170,2.100,15.855,"0,000001058832499","5,551035939",CONFIRMED
7.958.253.280,437.700,"5,00E+05",14.70,7.060,1.378.021.900,5847.00,4.191,1.4020,2.600,12.487,"0,000002291646088","0,7071067812",CONFIRMED
31.330.461.350,517.600,"5,07E+07",117.20,7.980,1.534.303.100,5251.00,4.581,8.170,2.100,15.855,"0,0000006883609668","7,12306114",CONFIRMED
3.904.342.500,383.100,"1,62E+08",323.40,7.090,1.733.937.340,5810.00,4.526,8.980,-600,15.016,"0,000004088396446","12,73891675",FALSE POSITIVE
9.286.358.079,349.949,"4,48E+08",1671.10,3.770,1.718.214.689,5670.00,4.523,8.210,-4.000,15.365,"0,000001570175112","21,16388433",FALSE POSITIVE
3.951.405.455,218.620,"2,45E+07",117.20,1.2760,1.732.761.250,6046.00,4.539,8.690,-3.800,15.446,"0,000002305297892","4,953685497",FALSE POSITIVE
23.653.694.150,821.830,"3,34E+07",266.30,80,1.713.761.070,5739.00,4.191,1.3840,3.000,15.084,"0,000001447677325","5,78083039",CONFIRMED
13.233.522.140,673.720,"5,05E+06",49.10,140,1.403.219.600,5739.00,4.191,1.3840,3.000,15.084,"0,00000212125437","2,246330341",CONFIRMED
6.155.602.850,498.430,"2,85E+06",35.10,2.350,1.348.165.600,5739.00,4.191,1.3840,3.000,15.084,"0,000003373823356","1,688194302",CONFIRMED
2.090.811.305,338.800,"1,16E+06",19.90,7.460,1.341.746.200,5739.00,4.191,1.3840,3.000,15.084,"0,000006751765036","1,076568623",CONFIRMED
3.180.027.898,357.970,"1,20E+06",50.40,1.960,1.334.986.300,5847.00,4.191,1.4020,2.600,12.487,"0,000004690341451","1,096813567",CONFIRMED
50.446.741.700,715.900,"3,70E+06",19.40,3.790,1.785.014.000,5739.00,4.191,1.3840,3.000,15.084,"0,0000005913001645","1,924318061",CONFIRMED
11.763.071.640,290.760,"1,04E+07",48.90,480,1.809.361.300,4959.00,4.603,7.560,1.600,15.208,"0,000001029918067","3,220714207",CONFIRMED
56.227.927.100,357.000,"8,63E+06",20.90,7.000,1.322.925.900,4959.00,4.603,7.560,1.600,15.208,"0,0000002645482551","2,937175514",CONFIRMED
2.384.052.875,309.180,"1,27E+07",50.50,1.1780,1.715.836.200,4794.00,4.580,7.010,-2.200,15.836,"0,000005403613374","3,561039174",FALSE POSITIVE
7.953.547.000,263.120,"8,75E+06",38.40,3.000,1.746.622.400,4768.00,4.536,7.790,1.800,15.660,"0,000001378420638","2,958715938",CONFIRMED
4.144.516.560,234.210,"3,92E+06",22.80,40,1.359.283.100,4768.00,4.536,7.790,1.800,15.660,"0,000002354617205","1,979393847",CONFIRMED
4.859.386.384,227.570,"6,04E+07",269.70,1.2590,1.730.114.690,6072.00,4.470,9.880,-1.000,15.311,"0,00000195129232","7,774509631",FALSE POSITIVE
10.526.294.577,252.110,"9,77E+07",482.30,6.440,1.765.224.620,5386.00,4.553,7.930,-2.000,15.305,"0,0000009979374277","9,88331928",CONFIRMED
4.583.520.948,270.550,"3,81E+07",99.50,450,1.699.739.720,5815.00,4.540,8.770,-1.200,15.287,"0,000002459444779","6,174220599",CONFIRMED
3.761.818.430,351.760,"5,11E+06",35.90,9.260,1.719.036.400,5653.00,4.472,9.490,1.000,15.257,"0,000003896165362","2,25964599",CONFIRMED
8.203.969.580,296.670,"1,02E+07",54.40,8.230,1.696.913.800,5015.00,4.499,8.260,1.000,15.376,"0,000001506740107","3,200624939",CONFIRMED
14.496.451.860,401.600,"6,48E+06",25.70,9.700,1.434.165.900,5015.00,4.499,8.260,1.000,15.376,"0,000001154305446","2,54460213",CONFIRMED
6.546.261.490,275.000,"6,56E+06",24.80,6.440,1.338.596.400,5251.00,4.581,8.170,2.100,15.855,"0,000001750362913","2,56105447",CONFIRMED
12.718.098.660,309.570,"1,15E+07",52.70,4.270,1.753.552.600,4702.00,4.592,6.860,-2.200,15.389,"0,000001014204273","3,390280224",CONFIRMED
36.065.881.630,432.460,"1,56E+07",51.70,2.600,1.985.842.300,4702.00,4.592,6.860,-2.200,15.389,"0,0000004996180837","3,954491118",CONFIRMED
4.190.425.659,285.890,"2,88E+07",240.60,4.580,1.714.412.200,6073.00,4.392,1.1350,2.000,15.270,"0,000002842690529","5,364140192",CONFIRMED
3.709.870.784,306.940,"2,02E+07",116.10,230,1.719.879.820,5727.00,4.463,9.780,1.400,15.581,"0,000003447334803","4,494774744",CONFIRMED
16.329.752.700,627.100,"1,19E+07",74.60,7.910,1.772.950.600,5878.00,4.444,9.870,-600,15.447,"0,000001600095675","3,446012188",CONFIRMED
27.807.566.216,421.587,"2,54E+08",748.10,7.820,1.867.135.520,5862.00,4.584,7.850,-5.200,15.482,"0,0000006317030719","15,93455365",CONFIRMED
80.872.346.900,1.119.500,"3,60E+07",160.90,5.270,2.038.950.000,5510.00,4.222,1.2380,1.600,15.201,"0,0000005767834757","6,00383211",CONFIRMED
3.166.465.862,293.810,"4,36E+07",122.10,1.2660,1.720.026.270,4968.00,4.575,7.040,-3.600,15.999,"0,000003866166214","6,600909028",FALSE POSITIVE
24.993.243.190,594.090,"2,70E+06",62.00,6.860,1.386.816.700,5718.00,4.181,1.3170,0,12.377,"0,0000009904176826","1,64195006",CONFIRMED
10.355.331.160,317.750,"7,51E+06",49.20,290,1.709.372.900,5501.00,4.462,9.180,200,15.018,"0,000001278528241","2,739708014",CONFIRMED
16.085.189.370,398.400,"1,44E+07",62.60,8.670,1.802.831.900,5239.00,4.523,8.260,0,15.219,"0,000001032005258","3,797894153",CONFIRMED
